num,race,country,year,distance,overall-time
1,Karnten ICEMAN Wintertriathlon,Austria,2008,?,00:34:36
2,9. ATUS Stadtwerke Judenburg Wintertriathlon,Austria,2008,?,0:23:48
3,Wintertriathlon - LLZ St. Jakob,Austria,2008,?,01:38:37
4,4. Mürzer und Jogelland Wintertriathlon,Austria,2009,6km/8km/8km,01:22:40
5,Karnten ICEMAN Wintertriathlon,Austria,2009,5km/8km/6km,1:27:13
6,Latky Mlaky ETU Winter Triathlon European Championships,Slovakia,2009,?,00:56:13
7,Gaishorn ITU Winter Triathlon World Championships,Austria,2009,4.5km/7.5km/6.2km,01:05:10
8,Lygna ETU Winter Triathlon European Championships,Norway,2010,?,00:57:33
9,Eidsvoll ITU Winter Triathlon World Championships,Norway,2010,?,01:02:20
10,ITU Winter Triathlon World Championships Zeltweg,Austria,2016,4.8km/9km/6.4km,01:29:55
11,ICEMAN WinterTriathlon 2019,Austria,2019,?,01:50:53
