num,race,year,place,category,details
1,Vn Grada Zagreba (1. day),2003,1,Beginners,My first victory
2,Vn Grada Zagreba (Overall),2003,2,Beginners,--
3,Biciklistička utrka 2. nagrada Fortice,2003,2nd place,Beginners,--
4,Time trial Pečarovci,2005,1,Overall,--
5,Time trial Beltinci,2006,1,Overall,--
6,Zalakaros Maraton (90 km),2007,1,Junior,--
7,Vzpon na Bazo 20,2008,3,?,--
8,Tour de Zalakaros (45 km),2008,1,Overall,--
9,Tour de Zalakaros (45 km),2008,1,AG,--
10,Hotel Karos Spa Zalakaros Maraton (45 km),2009,1,AG,--
11,Time trial Beltinci,2009,3,Overall,--
12,Zalakaros Maraton (45 km),2010,1,AG,--
13,Zalakaros Maraton (45 km),2011,1,Overall,--
